Frequency (GHz)	Im(Y(1,1)) : transmon_coupling qq leg	Im(Y(1,2)) : transmon_coupling qq leg	Im(Y(2,2)) : transmon_coupling qq leg
0.39	0.000259835	-1.39904e-06	0.000259674
0.4	0.000266499	-1.4348e-06	0.000266334
0.41	0.000273163	-1.47055e-06	0.000272993
0.42	0.000279827	-1.50629e-06	0.000279653
0.43	0.000286491	-1.54203e-06	0.000286313
0.44	0.000293155	-1.57776e-06	0.000292973
0.45	0.00029982	-1.61348e-06	0.000299634
0.46	0.000306484	-1.64919e-06	0.000306294
0.47	0.000313149	-1.68489e-06	0.000312955
0.48	0.000319814	-1.72059e-06	0.000319615
0.49	0.000326479	-1.75627e-06	0.000326276
0.5	0.000333144	-1.79195e-06	0.000332937
0.51	0.000339809	-1.82762e-06	0.000339598
0.52	0.000346475	-1.86328e-06	0.000346259
0.53	0.000353141	-1.89893e-06	0.000352921
0.54	0.000359806	-1.93457e-06	0.000359582
0.55	0.000366472	-1.97021e-06	0.000366244
0.56	0.000373138	-2.00583e-06	0.000372906
0.57	0.000379805	-2.04145e-06	0.000379568
0.58	0.000386471	-2.07705e-06	0.00038623
0.59	0.000393138	-2.11265e-06	0.000392893
0.6	0.000399805	-2.14823e-06	0.000399555
0.61	0.000406472	-2.18381e-06	0.000406218
0.62	0.000413139	-2.21938e-06	0.000412881
0.63	0.000419806	-2.25493e-06	0.000419544
0.64	0.000426474	-2.29048e-06	0.000426208
0.65	0.000433142	-2.32601e-06	0.000432871
0.66	0.00043981	-2.36154e-06	0.000439535
0.67	0.000446478	-2.39706e-06	0.000446199
0.68	0.000453147	-2.43256e-06	0.000452863
0.69	0.000459815	-2.46805e-06	0.000459528
0.7	0.000466484	-2.50354e-06	0.000466192
0.71	0.000473153	-2.53901e-06	0.000472857
0.72	0.000479823	-2.57447e-06	0.000479522
0.73	0.000486492	-2.60992e-06	0.000486187
0.74	0.000493162	-2.64536e-06	0.000492853
0.75	0.000499832	-2.68079e-06	0.000499519
0.76	0.000506503	-2.7162e-06	0.000506185
0.77	0.000513173	-2.75161e-06	0.000512851
0.78	0.000519844	-2.787e-06	0.000519517
0.79	0.000526515	-2.82238e-06	0.000526184
0.8	0.000533186	-2.85775e-06	0.000532851
0.81	0.000539858	-2.89311e-06	0.000539519
0.82	0.00054653	-2.92846e-06	0.000546186
0.83	0.000553202	-2.96379e-06	0.000552854
0.84	0.000559874	-2.99911e-06	0.000559522
0.85	0.000566547	-3.03442e-06	0.00056619
0.86	0.00057322	-3.06972e-06	0.000572859
0.87	0.000579893	-3.105e-06	0.000579528
0.88	0.000586567	-3.14027e-06	0.000586197
0.89	0.00059324	-3.17553e-06	0.000592867
0.9	0.000599915	-3.21077e-06	0.000599536
0.91	0.000606589	-3.24601e-06	0.000606206
0.92	0.000613264	-3.28122e-06	0.000612877
0.93	0.000619939	-3.31643e-06	0.000619547
0.94	0.000626614	-3.35162e-06	0.000626218
0.95	0.00063329	-3.3868e-06	0.00063289
0.96	0.000639966	-3.42197e-06	0.000639561
0.97	0.000646642	-3.45712e-06	0.000646233
0.98	0.000653318	-3.49226e-06	0.000652906
0.99	0.000659995	-3.52738e-06	0.000659578
1	0.000666673	-3.56249e-06	0.000666251
1.01	0.00067335	-3.59759e-06	0.000672924
1.02	0.000680028	-3.63267e-06	0.000679598
1.03	0.000686707	-3.66774e-06	0.000686272
1.04	0.000693385	-3.70279e-06	0.000692946
1.05	0.000700064	-3.73783e-06	0.000699621
1.06	0.000706744	-3.77286e-06	0.000706296
1.07	0.000713423	-3.80787e-06	0.000712971
1.08	0.000720103	-3.84286e-06	0.000719647
1.09	0.000726784	-3.87784e-06	0.000726323
1.1	0.000733465	-3.91281e-06	0.000732999
1.11	0.000740146	-3.94776e-06	0.000739676
1.12	0.000746827	-3.98269e-06	0.000746353
1.13	0.000753509	-4.01761e-06	0.000753031
1.14	0.000760192	-4.05252e-06	0.000759709
